시도,업종대분류,E9인원,위험백분위,노출가중지수,체불_전체
경기,제조업,92864.0,21.73913043478261,20188.0,61
전남,농림어업,9148.0,97.10144927536231,8883.0,1
경기,농림어업,9133.0,84.54106280193237,7721.0,0
충남,농림어업,7544.0,84.05797101449275,6341.0,0
경남,제조업,27865.0,15.942028985507244,4442.0,28
충북,제조업,16490.0,23.18840579710145,3824.0,3
충남,제조업,18783.0,18.84057971014493,3539.0,7
경북,농림어업,3680.0,94.20289855072464,3467.0,0
인천,제조업,11232.0,25.60386473429952,2876.0,4
전남,제조업,8432.0,30.434782608695656,2566.0,7
부산,제조업,8283.0,28.985507246376812,2401.0,13
경북,제조업,15463.0,15.458937198067632,2390.0,20
경기,건설업,2096.0,95.16908212560386,1995.0,81
전북,제조업,6319.0,30.917874396135264,1954.0,6
대구,제조업,5730.0,24.637681159420293,1412.0,3
강원,제조업,2760.0,35.748792270531396,987.0,2
광주,제조업,3117.0,28.502415458937197,888.0,5
서울,건설업,1367.0,61.35265700483091,839.0,65
울산,제조업,7200.0,11.11111111111111,800.0,6
전남,건설업,791.0,85.02415458937197,673.0,6
제주,제조업,963.0,67.6328502415459,651.0,0
충남,건설업,599.0,96.61835748792271,579.0,14
강원,건설업,320.0,99.03381642512076,317.0,6
세종,제조업,1142.0,27.536231884057973,314.0,1
세종,건설업,303.0,100.0,303.0,0
경남,건설업,325.0,92.7536231884058,301.0,8
인천,건설업,275.0,97.58454106280193,268.0,20
대전,제조업,980.0,23.67149758454106,232.0,1
광주,건설업,255.0,87.92270531400966,224.0,12
부산,건설업,180.0,95.65217391304348,172.0,14
충북,건설업,100.0,98.55072463768117,99.0,5
전북,건설업,93.0,98.06763285024155,91.0,8
서울,제조업,555.0,13.043478260869565,72.0,15
경북,건설업,30.0,91.78743961352657,28.0,15
대전,건설업,30.0,83.09178743961353,25.0,3
대구,건설업,26.0,92.27053140096618,24.0,4
울산,건설업,12.0,93.23671497584542,11.0,8
제주,건설업,3.0,99.51690821256038,3.0,7
